step;id;q_stock;q_consumed;q_wasted
80;1;92;0;171
80;2;91;0;180
80;3;7;0;347
80;4;6;182;28
80;5;97;0;0
80;6;68;0;66
80;7;32;0;26
81;1;92;0;171
81;2;95;0;180
81;3;6;0;347
81;4;7;188;28
81;5;97;0;0
81;6;63;0;75
81;7;33;0;26
82;1;96;0;171
82;2;91;0;180
82;3;7;0;347
82;4;6;195;28
82;5;94;0;0
82;6;71;0;75
82;7;32;0;26
83;1;99;0;171
83;2;95;0;180
83;3;6;0;347
83;4;7;201;28
83;5;87;0;0
83;6;75;0;75
83;7;33;0;26
84;1;92;0;171
84;2;91;0;180
84;3;7;0;347
84;4;6;208;28
84;5;88;0;0
84;6;83;0;75
84;7;32;0;26
85;1;99;0;171
85;2;95;0;180
85;3;6;0;347
85;4;7;214;28
85;5;81;0;0
85;6;84;0;78
85;7;33;0;26
86;1;99;0;171
86;2;91;0;180
86;3;7;0;347
86;4;6;221;28
86;5;75;0;0
86;6;84;0;86
86;7;32;0;26
87;1;92;0;171
87;2;95;0;180
87;3;6;0;347
87;4;7;227;28
87;5;75;0;0
87;6;87;0;87
87;7;33;0;26
88;1;93;0;171
88;2;91;0;180
88;3;7;0;347
88;4;6;234;28
88;5;75;0;0
88;6;92;0;87
88;7;32;0;26
89;1;91;0;171
89;2;95;0;180
89;3;6;0;350
89;4;7;240;28
89;5;76;0;0
89;6;88;0;87
89;7;33;0;26
90;1;92;0;171
90;2;80;0;191
90;3;7;0;358
90;4;6;247;28
90;5;77;0;0
90;6;92;0;87
90;7;32;0;26
91;1;94;0;171
91;2;77;0;205
91;3;6;0;362
91;4;7;253;28
91;5;75;0;0
91;6;88;0;87
91;7;33;0;26
92;1;93;0;171
92;2;61;0;229
92;3;7;0;370
92;4;6;260;28
92;5;75;0;0
92;6;93;0;87
92;7;32;0;26
93;1;91;0;171
93;2;56;0;252
93;3;6;0;374
93;4;7;266;28
93;5;76;0;0
93;6;90;0;87
93;7;33;0;26
94;1;92;0;171
94;2;65;0;267
94;3;7;0;382
94;4;6;273;28
94;5;77;0;0
94;6;86;0;87
94;7;32;0;26
95;1;94;0;171
95;2;84;0;267
95;3;6;0;386
95;4;7;279;28
95;5;82;0;0
95;6;81;0;87
95;7;33;0;26
96;1;93;0;171
96;2;97;0;267
96;3;0;0;394
96;4;6;286;28
96;5;84;0;0
96;6;77;0;87
96;7;32;0;26
97;1;91;0;171
97;2;93;0;267
97;3;0;0;398
97;4;7;292;28
97;5;92;0;0
97;6;75;0;87
97;7;30;0;26
98;1;92;0;171
98;2;99;0;267
98;3;0;0;406
98;4;6;299;28
98;5;98;0;0
98;6;71;0;87
98;7;23;0;26
99;1;94;0;171
99;2;99;0;267
99;3;0;0;410
99;4;7;305;28
99;5;102;0;0
99;6;63;0;87
99;7;18;0;26
100;1;93;0;171
100;2;99;0;267
100;3;0;0;418
100;4;6;312;28
100;5;101;0;0
100;6;59;0;87
100;7;12;0;26
101;1;91;0;171
101;2;91;0;267
101;3;7;0;422
101;4;7;318;28
101;5;106;0;0
101;6;59;0;87
101;7;6;0;26
102;1;92;0;171
102;2;91;0;267
102;3;3;0;430
102;4;6;325;28
102;5;113;0;0
102;6;63;0;87
102;7;9;0;26
103;1;94;0;171
103;2;91;0;267
103;3;0;0;434
103;4;4;331;28
103;5;111;0;0
103;6;63;0;87
103;7;12;0;26
104;1;93;0;171
104;2;91;0;267
104;3;7;0;442
104;4;0;335;28
104;5;117;0;0
104;6;67;0;87
104;7;11;0;26
105;1;91;0;171
105;2;91;0;267
105;3;0;0;446
105;4;1;335;28
105;5;125;0;0
105;6;67;0;87
105;7;17;0;26
106;1;92;0;171
106;2;91;0;267
106;3;0;0;454
106;4;1;336;28
106;5;125;0;0
106;6;71;0;87
106;7;17;0;26
107;1;94;0;171
107;2;91;0;267
107;3;7;0;458
107;4;0;336;29
107;5;124;0;0
107;6;70;0;87
107;7;10;0;26
108;1;93;0;171
108;2;91;0;267
108;3;6;0;467
108;4;7;336;29
108;5;122;0;0
108;6;73;0;92
108;7;14;0;29
109;1;91;0;171
109;2;91;0;267
109;3;8;0;467
109;4;0;336;36
109;5;123;0;0
109;6;80;0;93
109;7;20;0;29
110;1;85;0;178
110;2;91;0;267
110;3;7;0;467
110;4;0;336;36
110;5;125;0;0
110;6;86;0;95
110;7;21;0;36
111;1;83;0;187
111;2;91;0;267
111;3;5;0;467
111;4;0;336;36
111;5;124;0;0
111;6;88;0;101
111;7;28;0;36
112;1;84;0;194
112;2;91;0;267
112;3;6;0;467
112;4;0;336;36
112;5;122;0;0
112;6;96;0;101
112;7;33;0;36
113;1;84;0;207
113;2;91;0;267
113;3;8;0;467
113;4;0;336;36
113;5;115;0;0
113;6;104;0;101
113;7;32;0;43
114;1;72;0;227
114;2;91;0;267
114;3;7;0;467
114;4;0;336;36
114;5;115;0;0
114;6;112;0;101
114;7;34;0;49
115;1;73;0;246
115;2;91;0;267
115;3;5;0;467
115;4;0;336;36
115;5;109;0;0
115;6;118;0;103
115;7;33;0;50
116;1;87;0;246
116;2;91;0;267
116;3;6;0;467
116;4;7;336;36
116;5;106;0;0
116;6;120;0;109
116;7;31;0;50
117;1;97;0;247
117;2;91;0;267
117;3;8;0;467
117;4;7;336;43
117;5;99;0;0
117;6;120;0;109
117;7;32;0;50
118;1;95;0;249
118;2;91;0;267
118;3;15;0;467
118;4;5;343;43
118;5;96;0;0
118;6;120;0;109
118;7;34;0;50
119;1;92;0;249
119;2;91;0;267
119;3;13;0;475
119;4;6;348;43
119;5;97;0;0
119;6;120;0;109
119;7;33;0;50
120;1;99;0;249
120;2;76;0;282
120;3;14;0;483
120;4;8;354;43
120;5;89;0;0
120;6;120;0;109
120;7;31;0;50
121;1;99;0;249
121;2;77;0;299
121;3;16;0;491
121;4;7;362;43
121;5;82;0;0
121;6;112;0;109
121;7;32;0;50
122;1;99;0;249
122;2;62;0;323
122;3;15;0;499
122;4;5;369;43
122;5;77;0;0
122;6;112;0;109
122;7;34;0;50
123;1;99;0;249
123;2;55;0;345
123;3;13;0;507
123;4;6;374;43
123;5;71;0;0
123;6;112;0;109
123;7;33;0;50
124;1;93;0;249
124;2;66;0;358
124;3;14;0;515
124;4;8;380;43
124;5;69;0;0
124;6;104;0;109
124;7;31;0;50
125;1;92;0;249
125;2;81;0;358
125;3;16;0;523
125;4;7;388;43
125;5;69;0;0
125;6;103;0;109
125;7;32;0;50
126;1;93;0;249
126;2;96;0;358
126;3;15;0;531
126;4;5;395;43
126;5;70;0;0
126;6;95;0;109
126;7;34;0;50
127;1;92;0;249
127;2;89;0;358
127;3;13;0;539
127;4;6;400;43
127;5;71;0;0
127;6;97;0;109
127;7;33;0;50
128;1;93;0;249
128;2;98;0;358
128;3;14;0;547
128;4;8;406;43
128;5;69;0;0
128;6;89;0;109
128;7;31;0;50
129;1;92;0;249
129;2;99;0;358
129;3;16;0;555
129;4;7;414;43
129;5;69;0;0
129;6;81;0;109
129;7;32;0;50
130;1;93;0;249
130;2;99;0;358
130;3;15;0;563
130;4;5;421;43
130;5;70;0;0
130;6;73;0;109
130;7;34;0;50
131;1;92;0;249
131;2;96;0;358
131;3;13;0;571
131;4;6;426;43
131;5;71;0;0
131;6;68;0;109
131;7;33;0;50
132;1;93;0;249
132;2;89;0;358
132;3;14;0;579
132;4;8;432;43
132;5;77;0;0
132;6;70;0;109
132;7;31;0;50
133;1;92;0;249
133;2;95;0;358
133;3;8;0;587
133;4;7;440;43
133;5;79;0;0
133;6;65;0;109
133;7;32;0;50
134;1;93;0;249
134;2;90;0;358
134;3;11;0;595
134;4;5;447;43
134;5;85;0;0
134;6;66;0;109
134;7;28;0;50
135;1;92;0;249
135;2;94;0;358
135;3;8;0;603
135;4;6;452;43
135;5;87;0;0
135;6;62;0;109
135;7;23;0;50
136;1;93;0;249
136;2;91;0;358
136;3;10;0;611
136;4;8;458;43
136;5;93;0;0
136;6;70;0;109
136;7;19;0;50
137;1;92;0;249
137;2;94;0;358
137;3;0;0;619
137;4;7;466;43
137;5;98;0;0
137;6;67;0;109
137;7;16;0;50
138;1;93;0;249
138;2;91;0;358
138;3;0;0;627
138;4;5;473;43
138;5;97;0;0
138;6;67;0;117
138;7;12;0;50
139;1;92;0;249
139;2;94;0;358
139;3;7;0;627
139;4;6;478;43
139;5;104;0;0
139;6;70;0;119
139;7;10;0;50
140;1;93;0;249
140;2;91;0;358
140;3;0;0;627
140;4;2;484;43
140;5;110;0;0
140;6;73;0;124
140;7;14;0;50
141;1;92;0;249
141;2;94;0;358
141;3;0;0;627
141;4;3;486;43
141;5;117;0;0
141;6;68;0;134
141;7;11;0;50
142;1;93;0;249
142;2;91;0;358
142;3;0;0;627
142;4;3;486;46
142;5;123;0;0
142;6;76;0;134
142;7;9;0;50
143;1;92;0;249
143;2;94;0;358
143;3;0;0;627
143;4;0;489;48
143;5;124;0;0
143;6;81;0;134
143;7;7;0;50
144;1;93;0;249
144;2;91;0;358
144;3;4;0;627
144;4;2;489;48
144;5;123;0;0
144;6;89;0;134
144;7;9;0;50
145;1;92;0;249
145;2;94;0;358
145;3;7;0;627
145;4;0;489;50
145;5;124;0;0
145;6;91;0;137
145;7;6;0;50
146;1;85;0;257
146;2;91;0;358
146;3;6;0;627
146;4;0;489;57
146;5;123;0;0
146;6;90;0;146
146;7;13;0;50
147;1;79;0;268
147;2;94;0;358
147;3;7;0;627
147;4;0;489;57
147;5;124;0;0
147;6;94;0;147
147;7;19;0;50
148;1;84;0;279
148;2;91;0;358
148;3;6;0;627
148;4;0;489;57
148;5;117;0;0
148;6;99;0;147
148;7;26;0;50
149;1;87;0;285
149;2;94;0;358
149;3;7;0;630
149;4;0;489;57
149;5;115;0;0
149;6;95;0;147
149;7;30;0;50
150;1;78;0;305
150;2;79;0;370
150;3;6;0;639
150;4;0;489;59
150;5;108;0;0
150;6;99;0;147
150;7;33;0;50
151;1;72;0;324
151;2;77;0;383
151;3;7;0;643
151;4;0;489;63
151;5;106;0;0
151;6;96;0;147
151;7;32;0;50
152;1;77;0;335
152;2;70;0;407
152;3;6;0;651
152;4;0;489;70
152;5;103;0;0
152;6;91;0;147
152;7;33;0;50
153;1;94;0;335
153;2;63;0;429
153;3;7;0;656
153;4;6;489;70
153;5;97;0;0
153;6;89;0;147
153;7;32;0;50
154;1;94;0;335
154;2;71;0;444
154;3;6;0;664
154;4;7;495;70
154;5;95;0;0
154;6;84;0;147
154;7;33;0;50
155;1;91;0;335
155;2;88;0;444
155;3;7;0;669
155;4;6;502;70
155;5;97;0;0
155;6;79;0;147
155;7;32;0;50
156;1;99;0;335
156;2;98;0;444
156;3;6;0;677
156;4;7;508;70
156;5;90;0;0
156;6;74;0;147
156;7;33;0;50
157;1;99;0;335
157;2;99;0;444
157;3;7;0;682
157;4;6;515;70
157;5;84;0;0
157;6;66;0;147
157;7;32;0;50
158;1;99;0;335
158;2;99;0;444
158;3;6;0;690
158;4;7;521;70
158;5;77;0;0
158;6;61;0;147
158;7;33;0;50
159;1;99;0;335
159;2;99;0;444
159;3;7;0;695
159;4;6;528;70
159;5;71;0;0
159;6;53;0;147
159;7;32;0;50
160;1;94;0;335
160;2;89;0;444
160;3;6;0;703
160;4;7;534;70
160;5;69;0;0
160;6;58;0;147
160;7;33;0;50
161;1;97;0;335
161;2;88;0;444
161;3;7;0;708
161;4;6;541;70
161;5;65;0;0
161;6;60;0;147
161;7;32;0;50
162;1;92;0;335
162;2;88;0;444
162;3;6;0;716
162;4;7;547;70
162;5;65;0;0
162;6;65;0;147
162;7;33;0;50
163;1;97;0;335
163;2;88;0;444
163;3;7;0;721
163;4;6;554;70
163;5;61;0;0
163;6;67;0;147
163;7;32;0;50
164;1;92;0;335
164;2;88;0;444
164;3;6;0;729
164;4;7;560;70
164;5;61;0;0
164;6;72;0;147
164;7;33;0;50
165;1;97;0;335
165;2;88;0;444
165;3;7;0;734
165;4;6;567;70
165;5;57;0;0
165;6;74;0;147
165;7;32;0;50
166;1;92;0;335
166;2;88;0;444
166;3;6;0;742
166;4;7;573;70
166;5;57;0;0
166;6;79;0;147
166;7;33;0;50
167;1;97;0;335
167;2;88;0;444
167;3;7;0;747
167;4;6;580;70
167;5;59;0;0
167;6;89;0;147
167;7;32;0;50
168;1;92;0;335
168;2;88;0;444
168;3;0;0;747
168;4;7;586;70
168;5;62;0;0
168;6;93;0;153
168;7;33;0;50
169;1;97;0;335
169;2;88;0;444
169;3;0;0;747
169;4;6;593;70
169;5;64;0;0
169;6;103;0;153
169;7;30;0;50
170;1;92;0;335
170;2;88;0;444
170;3;0;0;747
170;4;7;599;70
170;5;67;0;0
170;6;110;0;156
170;7;24;0;50
171;1;97;0;335
171;2;88;0;444
171;3;0;0;747
171;4;6;606;70
171;5;65;0;0
171;6;120;0;156
171;7;21;0;50
172;1;92;0;335
172;2;88;0;444
172;3;0;0;747
172;4;7;612;70
172;5;72;0;0
172;6;130;0;156
172;7;19;0;50
173;1;97;0;335
173;2;88;0;444
173;3;0;0;747
173;4;6;619;70
173;5;69;0;0
173;6;140;0;156
173;7;12;0;50
174;1;92;0;335
174;2;88;0;444
174;3;4;0;747
174;4;7;625;70
174;5;68;0;0
174;6;140;0;166
174;7;9;0;50
175;1;97;0;335
175;2;88;0;444
175;3;8;0;747
175;4;4;632;70
175;5;70;0;0
175;6;149;0;167
175;7;13;0;50
176;1;92;0;335
176;2;88;0;444
176;3;0;0;747
176;4;0;636;70
176;5;77;0;0
176;6;150;0;167
176;7;17;0;50
177;1;97;0;335
177;2;88;0;444
177;3;9;0;747
177;4;4;636;70
177;5;79;0;0
177;6;150;0;167
177;7;13;0;50
178;1;92;0;335
178;2;88;0;444
178;3;10;0;756
178;4;4;640;70
178;5;86;0;0
178;6;150;0;167
178;7;13;0;50
179;1;97;0;335
179;2;78;0;454
179;3;10;0;766
179;4;0;640;74
179;5;83;0;0
179;6;150;0;167
179;7;12;0;50
180;1;92;0;335
180;2;81;0;468
180;3;15;0;776
180;4;1;640;74
180;5;88;0;0
180;6;140;0;167
180;7;8;0;54
181;1;97;0;335
181;2;68;0;489
181;3;12;0;786
181;4;0;640;75
181;5;83;0;0
181;6;137;0;167
181;7;5;0;54
182;1;88;0;339
182;2;59;0;512
182;3;15;0;796
182;4;0;640;83
182;5;88;0;0
182;6;134;0;167
182;7;9;0;54
183;1;88;0;347
183;2;63;0;532
183;3;12;0;806
183;4;0;640;83
183;5;83;0;0
183;6;124;0;167
183;7;14;0;54
184;1;82;0;359
184;2;81;0;532
184;3;16;0;816
184;4;0;640;83
184;5;85;0;0
184;6;119;0;167
184;7;17;0;54
185;1;91;0;362
185;2;96;0;532
185;3;12;0;826
185;4;0;640;83
185;5;80;0;0
185;6;109;0;167
185;7;23;0;54
186;1;74;0;379
186;2;93;0;532
186;3;16;0;836
186;4;0;640;83
186;5;86;0;0
186;6;105;0;167
186;7;21;0;59
187;1;73;0;399
187;2;99;0;532
187;3;12;0;846
187;4;0;640;83
187;5;79;0;0
187;6;95;0;167
187;7;23;0;61
188;1;69;0;416
188;2;99;0;532
188;3;16;0;856
188;4;0;640;85
188;5;83;0;0
188;6;85;0;167
188;7;21;0;61
189;1;86;0;416
189;2;99;0;532
189;3;12;0;866
189;4;5;640;85
189;5;80;0;0
189;6;75;0;167
189;7;24;0;61
190;1;91;0;419
190;2;90;0;532
190;3;16;0;876
190;4;3;645;85
190;5;82;0;0
190;6;74;0;167
190;7;21;0;61
191;1;93;0;425
191;2;90;0;532
191;3;12;0;886
191;4;6;648;85
191;5;75;0;0
191;6;72;0;167
191;7;24;0;61
192;1;92;0;425
192;2;90;0;532
192;3;16;0;896
192;4;3;654;85
192;5;80;0;0
192;6;70;0;167
192;7;21;0;61
193;1;99;0;425
193;2;90;0;532
193;3;12;0;906
193;4;6;657;85
193;5;73;0;0
193;6;68;0;167
193;7;24;0;61
194;1;99;0;425
194;2;90;0;532
194;3;16;0;916
194;4;3;663;85
194;5;71;0;0
194;6;66;0;167
194;7;21;0;61
195;1;99;0;425
195;2;90;0;532
195;3;12;0;926
195;4;6;666;85
195;5;64;0;0
195;6;74;0;167
195;7;24;0;61
196;1;99;0;425
196;2;90;0;532
196;3;6;0;936
196;4;3;672;85
196;5;62;0;0
196;6;75;0;167
196;7;21;0;61
197;1;91;0;425
197;2;90;0;532
197;3;2;0;943
197;4;6;675;85
197;5;63;0;0
197;6;76;0;174
197;7;24;0;61
198;1;93;0;425
198;2;90;0;532
198;3;6;0;943
198;4;3;681;85
198;5;67;0;0
198;6;81;0;177
198;7;21;0;61
