step;id;q_stock;q_consumed;q_wasted
153;1;0;3128;0
153;2;108;0;0
153;3;228;0;0
153;4;121;0;0
153;5;0;0;0
153;6;0;0;0
153;7;0;0;0
154;1;0;3128;0
154;2;190;0;0
154;3;240;0;0
154;4;132;0;0
154;5;0;0;0
154;6;0;0;0
154;7;0;0;0
155;1;0;3128;0
155;2;36;0;0
155;3;252;0;0
155;4;143;0;0
155;5;0;0;0
155;6;0;0;0
155;7;0;0;0
156;1;0;3282;0
156;2;36;0;0
156;3;191;0;0
156;4;154;0;0
156;5;73;0;0
156;6;0;0;0
156;7;0;0;0
157;1;0;3282;0
157;2;36;0;0
157;3;203;0;0
157;4;166;0;0
157;5;73;0;0
157;6;0;0;0
157;7;0;0;0
158;1;0;3282;0
158;2;36;0;0
158;3;215;0;0
158;4;96;0;0
158;5;0;0;0
158;6;83;0;0
158;7;0;0;0
159;1;0;3282;0
159;2;109;0;0
159;3;227;0;0
159;4;107;0;0
159;5;0;0;0
159;6;83;0;0
159;7;0;0;0
160;1;0;3282;0
160;2;109;0;0
160;3;239;0;0
160;4;119;0;0
160;5;0;0;0
160;6;0;0;0
160;7;0;0;0
161;1;0;3282;0
161;2;192;0;0
161;3;251;0;0
161;4;129;0;0
161;5;0;0;0
161;6;0;0;0
161;7;0;0;0
162;1;0;3282;0
162;2;36;0;0
162;3;263;0;0
162;4;140;0;0
162;5;0;0;0
162;6;0;0;0
162;7;0;0;0
163;1;0;3438;0
163;2;36;0;0
163;3;201;0;0
163;4;151;0;0
163;5;74;0;0
163;6;0;0;0
163;7;0;0;0
164;1;0;3438;0
164;2;36;0;0
164;3;213;0;0
164;4;161;0;0
164;5;74;0;0
164;6;0;0;0
164;7;0;0;0
165;1;0;3438;0
165;2;36;0;0
165;3;225;0;0
165;4;91;0;0
165;5;0;0;0
165;6;82;0;0
165;7;0;0;0
166;1;0;3438;0
166;2;110;0;0
166;3;237;0;0
166;4;103;0;0
166;5;0;0;0
166;6;82;0;0
166;7;0;0;0
167;1;0;3438;0
167;2;110;0;0
167;3;249;0;0
167;4;116;0;0
167;5;0;0;0
167;6;0;0;0
167;7;0;0;0
168;1;0;3438;0
168;2;192;0;0
168;3;261;0;0
168;4;126;0;0
168;5;0;0;0
168;6;0;0;0
168;7;0;0;0
169;1;0;3438;0
169;2;36;0;0
169;3;273;0;0
169;4;139;0;0
169;5;0;0;0
169;6;0;0;0
169;7;0;0;0
170;1;0;3594;0
170;2;36;0;0
170;3;212;0;0
170;4;150;0;0
170;5;73;0;0
170;6;0;0;0
170;7;0;0;0
171;1;0;3594;0
171;2;36;0;0
171;3;224;0;0
171;4;162;0;0
171;5;73;0;0
171;6;0;0;0
171;7;0;0;0
172;1;0;3594;0
172;2;36;0;0
172;3;236;0;0
172;4;96;0;0
172;5;0;0;0
172;6;77;0;0
172;7;0;0;0
173;1;0;3594;0
173;2;109;0;0
173;3;248;0;0
173;4;107;0;0
173;5;0;0;0
173;6;77;0;0
173;7;0;0;0
174;1;0;3594;0
174;2;109;0;0
174;3;260;0;0
174;4;119;0;0
174;5;0;0;0
174;6;0;0;0
174;7;0;0;0
175;1;0;3594;0
175;2;186;0;0
175;3;272;0;0
175;4;129;0;0
175;5;0;0;0
175;6;0;0;0
175;7;0;0;0
176;1;0;3594;0
176;2;36;0;0
176;3;284;0;0
176;4;141;0;0
176;5;0;0;0
176;6;0;0;0
176;7;0;0;0
177;1;0;3744;0
177;2;36;0;0
177;3;213;0;0
177;4;152;0;0
177;5;83;0;0
177;6;0;0;0
177;7;0;0;0
178;1;0;3744;0
178;2;36;0;0
178;3;225;0;0
178;4;164;0;0
178;5;83;0;0
178;6;0;0;0
178;7;0;0;0
179;1;0;3744;0
179;2;36;0;0
179;3;237;0;0
179;4;98;0;0
179;5;0;0;0
179;6;78;0;0
179;7;0;0;0
180;1;0;3744;0
180;2;119;0;0
180;3;249;0;0
180;4;108;0;0
180;5;0;0;0
180;6;78;0;0
180;7;0;0;0
181;1;0;3744;0
181;2;119;0;0
181;3;261;0;0
181;4;120;0;0
181;5;0;0;0
181;6;0;0;0
181;7;0;0;0
182;1;0;3744;0
182;2;197;0;0
182;3;273;0;0
182;4;130;0;0
182;5;0;0;0
182;6;0;0;0
182;7;0;0;0
183;1;0;3744;0
183;2;48;0;0
183;3;285;0;0
183;4;142;0;0
183;5;0;0;0
183;6;0;0;0
183;7;0;0;0
184;1;0;3893;0
184;2;48;0;0
184;3;215;0;0
184;4;153;0;0
184;5;82;0;0
184;6;0;0;0
184;7;0;0;0
185;1;0;3893;0
185;2;48;0;0
185;3;227;0;0
185;4;165;0;0
185;5;82;0;0
185;6;0;0;0
185;7;0;0;0
186;1;0;3893;0
186;2;48;0;0
186;3;239;0;0
186;4;95;0;0
186;5;0;0;0
186;6;80;0;0
186;7;0;0;0
187;1;0;3893;0
187;2;130;0;0
187;3;251;0;0
187;4;107;0;0
187;5;0;0;0
187;6;80;0;0
187;7;0;0;0
188;1;0;3893;0
188;2;130;0;0
188;3;263;0;0
188;4;120;0;0
188;5;0;0;0
188;6;0;0;0
188;7;0;0;0
189;1;0;3893;0
189;2;210;0;0
189;3;275;0;0
189;4;132;0;0
189;5;0;0;0
189;6;0;0;0
189;7;0;0;0
190;1;0;3893;0
190;2;48;0;0
190;3;287;0;0
190;4;144;0;0
190;5;0;0;0
190;6;0;0;0
190;7;0;0;0
191;1;0;4055;0
191;2;48;0;0
191;3;216;0;0
191;4;157;0;0
191;5;83;0;0
191;6;0;0;0
191;7;0;0;0
192;1;0;4055;0
192;2;48;0;0
192;3;228;0;0
192;4;169;0;0
192;5;83;0;0
192;6;0;0;0
192;7;0;0;0
193;1;0;4055;0
193;2;48;0;0
193;3;240;0;0
193;4;100;0;0
193;5;0;0;0
193;6;82;0;0
193;7;0;0;0
194;1;0;4055;0
